Date,Harga Ladang
29/12/2008,5.55
5/1/2009,6.25
12/1/2009,7.09
19/1/2009,7.22
26/1/2009,6.7
2/2/2009,7
9/2/2009,6.4
16/2/2009,6.5
23/2/2009,6.1
2/3/2009,5.55
9/3/2009,6.35
16/3/2009,6
23/3/2009,6.65
30/3/2009,5.85
6/4/2009,5.85
13/4/2009,5.65
20/4/2009,6.2
27/4/2009,5.1
4/5/2009,3.7
11/5/2009,3.05
18/5/2009,3.35
25/5/2009,2.9
1/6/2009,3.3
8/6/2009,2.95
15/6/2009,3.1
22/6/2009,2.9
29/6/2009,3.15
6/7/2009,3.45
13/7/2009,3.35
20/7/2009,3.4
27/7/2009,3.65
3/8/2009,3.45
10/8/2009,4.25
17/8/2009,4.25
24/8/2009,4
31/8/2009,4.5
7/9/2009,3.95
14/9/2009,3.55
21/9/2009,3.5
28/9/2009,4.45
5/10/2009,4.45
12/10/2009,4.2
19/10/2009,3.55
26/10/2009,3.25
2/11/2009,3.05
9/11/2009,4.3
16/11/2009,5
23/11/2009,4.6
30/11/2009,5.35
7/12/2009,5.8
14/12/2009,5.2
21/12/2009,5.8
28/12/2009,4.9
4/1/2010,5.4
11/1/2010,4.55
18/1/2010,4.1
25/1/2010,3.75
1/2/2010,5
8/2/2010,5.1
15/2/2010,5.85
22/2/2010,4.65
1/3/2010,4.65
8/3/2010,4.55
15/3/2010,4.5
22/3/2010,4.8
29/3/2010,4.35
5/4/2010,4.55
12/4/2010,4.85
19/4/2010,4.75
26/4/2010,4.3
3/5/2010,4.45
10/5/2010,5.25
17/5/2010,4.85
24/5/2010,5.2
31/5/2010,4.75
7/6/2010,4.1
14/6/2010,5.3
21/6/2010,6.05
28/6/2010,5.85
5/7/2010,7.85
12/7/2010,8.45
19/7/2010,7
26/7/2010,6.45
2/8/2010,6.3
9/8/2010,5.95
16/8/2010,5.8
23/8/2010,6.2
30/8/2010,6.7
6/9/2010,6.6
13/9/2010,5.9
20/9/2010,5.7
27/9/2010,4.75
4/10/2010,5.2
11/10/2010,5.3
18/10/2010,5.75
25/10/2010,6.15
1/11/2010,6.1
8/11/2010,6.1
15/11/2010,5.85
22/11/2010,6.35
29/11/2010,5.4
6/12/2010,5.4
13/12/2010,5.4
20/12/2010,5.1
27/12/2010,5.1
3/1/2011,4.65
10/1/2011,4.4
17/1/2011,4.15
24/1/2011,5.45
31/1/2011,4.25
7/2/2011,4.3
14/2/2011,4.75
21/2/2011,3.8
28/2/2011,4.95
7/3/2011,4.95
14/3/2011,4.8
21/3/2011,5.5
28/3/2011,4.65
4/4/2011,3.95
11/4/2011,4.4
18/4/2011,4.4
25/4/2011,4.4
2/5/2011,4.8
9/5/2011,4.85
16/5/2011,4.1
23/5/2011,3.95
30/5/2011,3.95
6/6/2011,3.95
13/6/2011,4.65
20/6/2011,5.4
27/6/2011,5.9
4/7/2011,4.85
11/7/2011,4.85
18/7/2011,4.55
25/7/2011,4.6
1/8/2011,4.5
8/8/2011,4.45
15/8/2011,4.55
22/8/2011,4.55
29/8/2011,4.5
5/9/2011,4.35
12/9/2011,5.1
19/9/2011,5.2
26/9/2011,6.2
3/10/2011,7.6
10/10/2011,7.85
17/10/2011,6.3
24/10/2011,6.2
31/10/2011,6.4
7/11/2011,6.7
14/11/2011,6.3
21/11/2011,6.3
28/11/2011,6
5/12/2011,6.45
12/12/2011,7.25
19/12/2011,7.3
26/12/2011,7.6
2/1/2012,7.6
9/1/2012,9.05
16/1/2012,7.95
23/1/2012,7.75
30/1/2012,7.8
6/2/2012,6.45
13/2/2012,6.45
20/2/2012,6.8
27/2/2012,5.45
5/3/2012,5.85
12/3/2012,5.15
19/3/2012,5.1
26/3/2012,4.35
2/4/2012,4.25
9/4/2012,4.6
16/4/2012,4.25
23/4/2012,3.9
30/4/2012,3.9
7/5/2012,3.9
14/5/2012,3.9
21/5/2012,3.4
28/5/2012,3.75
4/6/2012,4
11/6/2012,3.7
