Date,Harga Ladang
29-12-08,1.5
1/5/2009,1.65
1/12/2009,1.65
19-01-09,2.25
26-01-09,3.45
2/2/2009,3.1
2/9/2009,3.05
16-02-09,2.9
22-02-09,2.9
3/2/2009,3.25
3/9/2009,2.35
16-03-09,2.35
23-03-09,2.25
30-03-09,2.1
4/6/2009,2
13-04-09,1.9
20-04-09,1.95
27-04-09,0.5
5/4/2009,1.65
5/11/2009,1.3
18-05-09,1.35
25-05-09,1.35
6/1/2009,1.2
6/8/2009,1.35
15-06-09,0.95
22-06-09,0.95
29-06-09,0.95
7/6/2009,1.4
13-07-09,1.4
20-07-09,1.4
27-07-09,1.4
8/3/2009,1.4
8/10/2009,1.05
17-08-09,0.95
24-08-09,0.95
31-08-09,2.3
9/7/2009,1.7
14-09-09,1.7
21-09-09,1.75
28-09-09,1.75
10/5/2009,1.05
10/12/2009,1.8
19-10-09,1.85
26-10-09,1.65
11/2/2009,1.65
11/9/2009,2
16-11-09,1.5
23-11-09,2.35
30-11-09,2.25
12/7/2009,3.15
14-12-09,2.95
21-12-09,3
28-12-09,3.15
1/4/2010,2.65
1/11/2010,1.85
18-01-10,2.5
25-01-10,2.5
2/1/2010,2.15
2/8/2010,1.9
15-02-10,1.75
22-02-10,1.3
3/1/2010,1.1
3/8/2010,0.9
15-03-10,0.9
22-03-10,0.9
29-03-10,0.9
4/5/2010,0.9
4/12/2010,1
19-04-10,1.05
25-04-10,1.1
5/3/2010,1.25
5/10/2010,1.4
17-05-10,1.15
24-05-10,1.05
31-05-10,1.2
6/7/2010,1.7
14-06-10,1.15
21-06-10,1.2
28-06-10,1.85
7/5/2010,2.2
7/12/2010,1.55
19-07-10,1.55
26-07-10,2.2
8/2/2010,
8/9/2010,1.7
16-08-10,2.05
23-08-10,1.75
30-08-10,1.75
9/6/2010,2.15
13-09-10,2
20-09-10,1.5
27-09-10,1.45
10/4/2010,1.6
10/11/2010,1.7
18-10-10,1.7
25-10-10,2.15
11/1/2010,2.35
11/8/2010,2.35
15-11-10,2.35
22-11-10,1.55
29-11-10,1.2
12/6/2010,1.55
13-12-10,1.65
20-12-10,1.65
27-12-10,1.3
1/3/2011,0.95
1/10/2011,1.25
17-01-11,1.1
24-01-11,1.1
31-01-11,1.5
2/7/2011,1.35
14-02-11,1.05
21-02-11,1.6
28-02-11,1.95
3/7/2011,2.2
14-03-11,2.15
21-03-11,3.05
28-03-11,3.05
4/4/2011,2.35
4/11/2011,2
18-04-11,1.4
25-04-11,2.1
5/2/2011,2.1
5/9/2011,2.5
16-05-11,2.5
23-05-11,2.5
30-05-11,2.4
6/6/2011,2.3
13-06-11,2.5
20-06-11,1.95
27-06-11,1.95
7/4/2011,1.85
7/11/2011,2.15
18-07-11,1.45
25-07-11,1.7
8/1/2011,1.35
8/8/2011,1.2
15-08-11,1.45
22-08-11,1.3
29-08-11,1
9/5/2011,1.4
9/12/2011,1.25
19-09-11,1.3
26-09-11,1.2
10/3/2011,1.65
10/10/2011,2.35
17-10-11,2.4
24-10-11,2.2
31-10-11,2.5
11/7/2011,2.6
14-11-11,1.95
21-11-11,1.6
28-11-11,1.7
12/5/2011,1.5
12/12/2011,1.65
19-12-11,2.15
26-12-11,2.85
1/2/2012,2.85
1/9/2012,2.1
16-01-12,3.25
23-01-12,3.25
30-01-12,3.25
2/6/2012,3.6
13-02-12,3.7
20-02-12,4
27-02-12,3.2
3/5/2012,2.9
3/12/2012,1.85
19-03-12,1.85
26-03-12,1.85
4/2/2012,1.7
4/9/2012,1.05
16-04-12,1.05
23-04-12,0.9
30-04-12,0.8
5/7/2012,0.85
14-05-12,1.5
21-05-12,1.1
28-05-12,0.85
6/4/2012,1.1
6/11/2012,1
18-06-12,1
25-06-12,0.95
7/2/2012,0.95
7/9/2012,1.6
16-07-12,1.45
23-07-12,1.3
30-07-12,1.35
8/6/2012,1.3
13-08-12,1.75
20-08-12,1.8
27-08-12,1.3
9/3/2012,1.25
9/10/2012,1.2
17-09-12,1.2
24-09-12,1.55
10/1/2012,1.7
10/8/2012,1.75
15-10-12,1.9
22-10-12,1.9
29-10-12,1.85
11/5/2012,1.65
11/12/2012,1.65
19-11-12,1.55
26-11-12,1.55
12/3/2012,2.1
12/10/2012,2.1
17-12-12,1.6
24-12-12,2.3
31-12-12,2.75
1/7/2013,3.1
14-01-13,3.1
21-01-13,3.55
28-01-13,3.65
2/4/2013,3.2
2/11/2013,3.35
18-02-13,3.35
25-02-13,3.3
3/4/2013,2.9
3/11/2013,2.35
18-03-13,2
25-03-13,2
4/1/2013,1.6
4/8/2013,1.55
15-04-13,1.8
22-04-13,1.8
29-04-13,1.95
5/6/2013,1.95
13-05-13,1.4
20-05-13,1.4
27-05-13,1.6
6/3/2013,1.6
6/10/2013,2.25
17-06-13,2.3
24-06-13,2.3
7/1/2013,2.3
7/8/2013,2.3
15-07-13,2.65
22-07-13,2.65
29-07-13,2.35
8/5/2013,2
8/12/2013,2
19-08-13,1.5
26-08-13,1.5
9/2/2013,1.5
9/9/2013,1.5
16-09-13,1.55
23-09-13,1.55
30-09-13,1.5
10/7/2013,1.95
14-10-13,2.15
21-10-13,2.75
28-10-13,3.05
11/4/2013,2.6
11/11/2013,1.85
18-11-13,1.85
25-11-13,1.85
12/2/2013,1.75
12/9/2013,1.95
16-12-13,2.35
23-12-13,1.7
30-12-13,2.95
1/6/2014,3.1
13-01-14,3.15
20-01-14,3.25
27-01-14,3.5
2/3/2014,3.2
2/10/2014,2.3
17-02-14,2.15
24-02-14,2.15
3/3/2014,2.05
3/10/2014,1.7
17-03-14,1.7
24-03-14,1.7
31-03-14,1.6
4/7/2014,1.2
14-04-14,1.2
21-04-14,1.25
28-04-14,1.45
5/5/2014,1.35
5/12/2014,1.3
19-05-14,1.75
26-05-14,1.95
6/2/2014,1.75
6/9/2014,1.75
16-06-14,1.75
23-06-14,1.95
30-06-14,2.4
7/7/2014,2.85
14-07-14,2.95
21-07-14,2.9
28-07-14,2.9
8/4/2014,2.25
8/11/2014,2.25
18-08-14,2.15
25-08-14,2.55
9/1/2014,2
9/8/2014,2
15-09-14,2.6
22-09-14,2.7
29-09-14,2.7
10/6/2014,2.85
13-10-14,2.85
20-10-14,2.65
27-10-14,2.55
11/3/2014,2.55
11/10/2014,2.75
17-11-14,3.65
24-11-14,3.9
12/1/2014,3.9
12/8/2014,2.75
15-12-14,2.45
22-12-14,3.2
29-12-14,3.6
1/5/2015,3.05
1/12/2015,3
19-01-15,3.4
26-01-15,3.4
2/2/2015,3.15
2/9/2015,3.5
16-02-15,3.85
23-02-15,2.35
3/2/2015,2.4
3/9/2015,2.05
16-03-15,1.8
23-03-15,1.8
30-03-15,1.7
4/6/2015,1.55
13-04-15,1.55
20-04-15,1.55
27-04-15,1.3
5/4/2015,1.35
5/11/2015,1.8
18-05-15,1.25
25-05-15,0.95
6/1/2015,1.35
6/8/2015,1.45
15-06-15,1.6
22-06-15,2.2
29-06-15,2.85
7/6/2015,2.6
13-07-15,2
20-07-15,2
27-07-15,2.2
8/3/2015,2.2
8/10/2015,2.1
17-08-15,2.1
24-08-15,2.05
31-08-15,2.05
9/7/2015,2.05
14-09-15,2.05
21-09-15,2.6
28-09-15,2.6
10/5/2015,2.95
10/12/2015,3.15
19-10-15,3.15
26-10-15,3.15
11/2/2015,2.8
11/9/2015,2.95
16-11-15,2.95
23-11-15,2.8
30-11-15,2.65
12/7/2015,2.85
14-12-15,2.35
21-12-15,1.9
28-12-15,2.25
1/4/2016,2.4
1/11/2016,1.95
18-01-16,1.25
25-01-16,1.25
2/1/2016,1.25
2/8/2016,1.3
15-02-16,1.3
22-02-16,1.15
29-02-16,1.15
3/7/2016,2.2
14-03-16,1.55
21-03-16,1.5
28-03-16,1.75
4/4/2016,1.8
4/11/2016,1.55
18-04-16,1.5
25-04-16,1.1
5/2/2016,1.1
5/9/2016,1.4
16-05-16,1.15
23-05-16,1.15
30-05-16,1.95
6/6/2016,2
13-06-16,2
20-06-16,2.2
27-06-16,2.7
7/4/2016,1.95
7/11/2016,1.6
18-07-16,1.6
25-07-16,2.2
8/1/2016,2.55
8/8/2016,1.75
15-08-16,1.75
22-08-16,1.95
29-08-16,2
9/5/2016,2.25
9/12/2016,2.3
19-09-16,1.65
26-09-16,1.65
10/3/2016,2.1
10/10/2016,1.8
17-10-16,2
24-10-16,1.8
31-10-16,1.8
11/7/2016,1.95
14-11-16,2.05
21-11-16,
28-11-16,1.4
12/5/2016,1.6
12/12/2016,1.65
19-12-16,1.45
26-12-16,1.9
1/2/2017,2.1
1/9/2017,2.35
16-01-17,2.25
23-01-17,2.6
30-01-17,2.65
2/6/2017,2.45
13-02-17,2.2
20-02-17,2.7
27-02-17,2.75
3/6/2017,2.3
13-03-17,2.85
20-03-17,2.55
27-03-17,2.25
4/3/2017,2.05
4/10/2017,2.3
17-04-17,2.3
24-04-17,1.8
5/1/2017,2.05
5/8/2017,2.4
15-05-17,2.15
22-05-17,1.9
29-05-17,2.35
6/5/2017,2.35
6/12/2017,2.35
19-06-17,2.3
26-06-17,2.05
7/3/2017,2.05
7/10/2017,2.05
17-07-17,2.05
24-07-17,1.95
31-07-17,2.4
8/7/2017,2.3
14-08-17,2.3
21-08-17,2.55
28-08-17,2.15
9/4/2017,1.65
9/11/2017,1.65
18-09-17,1.75
25-09-17,2.05
10/2/2017,1.8
10/9/2017,1.8
16-10-17,2.05
23-10-17,2.35
30-10-17,2.35
11/6/2017,2.35
13-11-17,2.35
20-11-17,2.4
27-11-17,2.4
12/4/2017,3.2
12/11/2017,3.25
18-12-17,3.7
25-12-17,3.55
1/1/2018,3.9
1/8/2018,4
15-01-18,6.15
22-01-18,6.35
29-01-18,5.8
2/5/2018,5.3
2/12/2018,5.3
19-02-18,5.3
26-02-18,5.35
3/5/2018,5.15
3/12/2018,5.15
19-03-18,3.75
26-03-18,3.55
4/2/2018,3.15
4/9/2018,3.15
16-04-18,3.05
23/04/2018,3
30/04/2018,3.05
5/7/2018,2.15
14-05-18,2.35
21-05-18,2.45
28-05-18,2.1
6/4/2018,2
6/11/2018,1.55
18-06-18,1.45
25-06-18,1.7
7/2/2018,2.05
7/9/2018,1.85
16-07-18,1.75
23-07-18,1.65
30-07-18,1.8
8/6/2018,2.4
13-08-18,2.55
20-08-18,2.5
27-08-18,2.5
9/3/2018,2.5
9/10/2018,2.95
17-09-18,2.4
24-09-18,2.4
10/1/2018,2.95
10/8/2018,2.95
15-10-18,2.75
22-10-18,3.15
29-10-18,3.15
11/5/2018,3.4
11/12/2018,3.6
19-11-18,3.6
26-11-18,3.7
12/3/2018,3.7
12/10/2018,3.7
17-12-18,3.45
24-12-18,3.25
31-12-18,3.15
1/7/2019,3.15
14-01-19,3.25
21-01-19,3.5
28-01-19,3.55
2/4/2019,3.85
2/11/2019,2.4
18-02-19,2.4
25-02-19,2.75
3/4/2019,2
3/11/2019,1.95
18-03-19,1.95
25-03-19,1.95
4/1/2019,1.7
4/8/2019,1.95
15-04-19,1.85
22/04/2019,1.85
29-04-19,
5/6/2019,
13-05-19,
20-05-19,
27-05-19,
6/3/2019,
6/10/2019,
17-06-19,
24-06-19,2.15
7/1/2019,2.05
7/8/2019,2.35
15-07-19,2.9
22-07-19,3.15
29-07-19,3.15
8/5/2019,3
8/12/2019,2.95
19-08-19,2.35
26-08-19,2.3
9/2/2019,
9/9/2019,2.7
16-09-19,2.15
23-09-19,2.1
30-09-19,2.1
10/7/2019,2.4
14-10-19,2.4
21-10-19,2.4
28/10/2019,2.2
4/11/2019,2.2
18/11/2019,
25/11/2019,
2/12/2019,1.85
9/12/2019,2.45
16/12/2019,2.45
23/12/2019,2.8
30/12/2019,2.6
6/1/2020,2.75
13/1/2020,3.25
20/1/2020,3.35
27/1/2020,3.4
3/2/2020,3.6
10/2/2020,4.05
17/2/2020,3.95
24/2/2020,3.2
