Date,Harga Ladang
29/12/2008,0.8
5/1/2009,1.45
12/1/2009,1.56
19/1/2009,1.68
26/1/2009,1.6
2/2/2009,1.95
9/2/2009,1.4
16/2/2009,1.5
23/2/2009,1.2
2/3/2009,1.2
9/3/2009,1.4
16/3/2009,1.45
23/3/2009,1.55
30/3/2009,1.4
6/4/2009,1.35
13/4/2009,1.25
20/4/2009,1.25
27/4/2009,1.1
4/5/2009,1.05
11/5/2009,1.1
18/5/2009,1.15
25/5/2009,1.15
1/6/2009,1.1
8/6/2009,1.5
15/6/2009,1.2
22/6/2009,1.15
29/6/2009,1.15
6/7/2009,1.25
13/7/2009,1.25
20/7/2009,1.45
27/7/2009,1.3
3/8/2009,1.25
10/8/2009,1.25
17/8/2009,1.2
24/8/2009,1.25
31/8/2009,1.4
7/9/2009,1.4
14/9/2009,1.45
21/9/2009,1.4
28/9/2009,1.6
5/10/2009,1.5
12/10/2009,1.5
19/10/2009,1.35
26/10/2009,1.35
2/11/2009,1.65
9/11/2009,1.9
16/11/2009,2.1
23/11/2009,2.5
30/11/2009,2.55
7/12/2009,1.8
14/12/2009,1.45
21/12/2009,1.5
28/12/2009,1.4
4/1/2010,1.45
11/1/2010,1.45
18/1/2010,1.45
25/1/2010,1.45
1/2/2010,1.55
8/2/2010,1.55
15/2/2010,1.4
22/2/2010,1.5
1/3/2010,1.45
8/3/2010,1.7
15/3/2010,1.65
22/3/2010,1.9
29/3/2010,2.05
5/4/2010,2.15
12/4/2010,2.1
19/4/2010,2
26/4/2010,2
3/5/2010,2.3
10/5/2010,2.35
17/5/2010,2.3
24/5/2010,2.45
31/5/2010,2.15
7/6/2010,2.15
14/6/2010,2.15
21/6/2010,1.65
28/6/2010,1.55
5/7/2010,1.7
12/7/2010,1.7
19/7/2010,1.55
26/7/2010,1.5
2/8/2010,1.45
9/8/2010,1.45
16/8/2010,1.35
23/8/2010,1.35
30/8/2010,1.35
6/9/2010,1.35
13/9/2010,1.45
20/9/2010,1.65
27/9/2010,1.9
4/10/2010,2.35
11/10/2010,2.25
18/10/2010,2.35
25/10/2010,1.85
1/11/2010,1.75
8/11/2010,1.75
15/11/2010,1.65
22/11/2010,1.55
29/11/2010,1.85
6/12/2010,1.75
13/12/2010,1.75
20/12/2010,1.9
27/12/2010,1.75
3/1/2011,1.7
10/1/2011,1.65
17/1/2011,2
24/1/2011,1.95
31/1/2011,1.7
7/2/2011,2.35
14/2/2011,1.8
21/2/2011,1.65
28/2/2011,1.4
7/3/2011,1.45
14/3/2011,1.4
21/3/2011,2
28/3/2011,2.25
4/4/2011,2.25
11/4/2011,1.8
18/4/2011,1.55
25/4/2011,1.8
2/5/2011,1.7
9/5/2011,1.95
16/5/2011,1.9
23/5/2011,2.1
30/5/2011,2
6/6/2011,2
13/6/2011,1.9
20/6/2011,1.65
27/6/2011,1.7
4/7/2011,1.65
11/7/2011,1.65
18/7/2011,1.5
25/7/2011,1.55
1/8/2011,1.15
8/8/2011,1.45
15/8/2011,1.4
22/8/2011,1.4
29/8/2011,1.6
5/9/2011,1.55
12/9/2011,1.85
19/9/2011,1.9
26/9/2011,2.05
3/10/2011,2.1
10/10/2011,1.85
17/10/2011,1.9
24/10/2011,1.75
31/10/2011,1.95
7/11/2011,2.05
14/11/2011,2
21/11/2011,2.1
28/11/2011,2.05
5/12/2011,2.2
12/12/2011,2.15
19/12/2011,2.15
26/12/2011,2.2
2/1/2012,2.6
9/1/2012,2.6
16/1/2012,2.25
23/1/2012,2.4
30/1/2012,2.3
6/2/2012,2.15
13/2/2012,2.05
20/2/2012,2
27/2/2012,2.05
5/3/2012,2.4
12/3/2012,2.4
19/3/2012,2.4
26/3/2012,2.2
2/4/2012,1.75
9/4/2012,1.45
16/4/2012,1.4
23/4/2012,1.6
30/4/2012,1.65
7/5/2012,1.8
14/5/2012,2.05
21/5/2012,1.75
28/5/2012,1.7
4/6/2012,1.5
11/6/2012,1.5
18/6/2012,1.55
25/6/2012,1.45
2/7/2012,1.45
9/7/2012,1.45
16/7/2012,1.5
23/7/2012,1.65
30/7/2012,1.75
6/8/2012,1.55
13/8/2012,1.5
20/8/2012,1.55
27/8/2012,1.55
3/9/2012,1.55
10/9/2012,1.65
17/9/2012,1.55
24/9/2012,1.75
1/10/2012,1.85
8/10/2012,1.95
15/10/2012,1.8
22/10/2012,2.05
29/10/2012,2
5/11/2012,2.15
12/11/2012,2.3
19/11/2012,2.45
26/11/2012,2.35
3/12/2012,2.4
10/12/2012,2.8
17/12/2012,2.4
24/12/2012,2.25
31/12/2012,2.3
7/1/2013,2.3
14/1/2013,2.1
21/1/2013,1.8
28/1/2013,1.75
4/2/2013,2.45
11/2/2013,2.4
18/2/2013,2
25/2/2013,2.15
4/3/2013,2.3
11/3/2013,2.05
18/3/2013,1.8
25/3/2013,1.7
1/4/2013,1.7
8/4/2013,1.55
15/4/2013,1.65
22/4/2013,1.85
29/4/2013,1.75
6/5/2013,2.25
13/5/2013,2.5
20/5/2013,2.3
27/5/2013,1.95
3/6/2013,1.7
10/6/2013,1.9
17/6/2013,1.9
24/6/2013,1.65
1/7/2013,1.25
8/7/2013,1.45
15/7/2013,1.6
22/7/2013,1.45
29/7/2013,1.5
5/8/2013,1.5
12/8/2013,1.5
19/8/2013,1.5
26/8/2013,1.55
2/9/2013,1.7
9/9/2013,1.9
16/9/2013,2.25
23/9/2013,1.95
30/9/2013,1.65
7/10/2013,1.65
14/10/2013,1.45
21/10/2013,1.7
28/10/2013,1.65
4/11/2013,1.4
11/11/2013,1.65
18/11/2013,2
25/11/2013,1.9
2/12/2013,1.7
9/12/2013,2.6
16/12/2013,2.6
23/12/2013,2.25
30/12/2013,2.15
6/1/2014,2.35
13/1/2014,1.75
20/1/2014,2.25
27/1/2014,2.1
3/2/2014,2.2
10/2/2014,1.5
17/2/2014,1.15
24/2/2014,1.4
3/3/2014,1.7
10/3/2014,1.9
17/3/2014,1.8
24/3/2014,1.85
31/3/2014,1.85
7/4/2014,2.25
14/4/2014,2.35
21/4/2014,2.2
28/4/2014,1.9
5/5/2014,1.7
12/5/2014,1.7
19/5/2014,1.95
26/5/2014,1.95
2/6/2014,1.95
9/6/2014,2.2
16/6/2014,2.1
23/6/2014,1.85
30/6/2014,1.4
7/7/2014,1.6
14/7/2014,1.25
21/7/2014,1.5
28/7/2014,1.9
4/8/2014,1.55
11/8/2014,1.7
18/8/2014,1.65
25/8/2014,1.95
1/9/2014,2.35
8/9/2014,2.1
15/9/2014,1.55
22/9/2014,1.8
29/9/2014,1.75
6/10/2014,1.75
13/10/2014,1.75
20/10/2014,1.75
27/10/2014,1.75
3/11/2014,2
10/11/2014,2
17/11/2014,2.05
24/11/2014,2.1
1/12/2014,2.1
8/12/2014,2.3
15/12/2014,2.35
22/12/2014,2.15
29/12/2014,2.75
5/1/2015,3.1
12/1/2015,2.75
19/1/2015,2.55
26/1/2015,1.9
2/2/2015,1.8
9/2/2015,1.8
16/2/2015,1.95
23/2/2015,1.85
2/3/2015,1.85
9/3/2015,1.2
16/3/2015,1.7
23/3/2015,1.75
30/3/2015,1.9
6/4/2015,2.1
13/4/2015,2.2
20/4/2015,2.2
27/4/2015,2.2
4/5/2015,2.2
11/5/2015,2.1
18/5/2015,2.05
25/5/2015,2.05
1/6/2015,1.85
8/6/2015,1.95
15/6/2015,2
22/6/2015,2.35
29/6/2015,2.25
6/7/2015,2.1
13/7/2015,2.1
20/7/2015,1.6
27/7/2015,1.6
3/8/2015,1.65
10/8/2015,1.8
17/8/2015,1.85
24/8/2015,1.95
31/8/2015,1.85
7/9/2015,1.55
14/9/2015,1.5
21/9/2015,1.5
28/9/2015,1.55
5/10/2015,1.45
12/10/2015,1.65
19/10/2015,1.7
26/10/2015,1.85
2/11/2015,1.85
9/11/2015,1.95
16/11/2015,2.25
23/11/2015,2.25
30/11/2015,2.4
7/12/2015,2.5
14/12/2015,2.45
21/12/2015,2.35
28/12/2015,2
4/1/2016,2.1
11/1/2016,1.85
18/1/2016,1.85
25/1/2016,1.9
1/2/2016,2.15
8/2/2016,2.4
15/2/2016,2.5
22/2/2016,2.4
29/2/2016,2.2
7/3/2016,1.95
14/3/2016,1.8
21/3/2016,1.8
28/3/2016,1.8
4/4/2016,1.8
11/4/2016,2
18/4/2016,2.05
25/4/2016,2.3
2/5/2016,2.7
9/5/2016,2.95
16/5/2016,2.9
23/5/2016,2.9
30/5/2016,2.6
6/6/2016,2.2
13/6/2016,1.95
20/6/2016,1.75
27/6/2016,1.7
4/7/2016,1.75
11/7/2016,1.6
18/7/2016,1.6
25/7/2016,1.6
1/8/2016,1.65
8/8/2016,1.85
15/8/2016,2.1
22/8/2016,1.45
29/8/2016,1.7
5/9/2016,1.4
12/9/2016,1.4
19/9/2016,1.35
26/9/2016,1.35
3/10/2016,1.4
10/10/2016,1.45
