Date,Harga Ladang
12/29/2008,0.7
1/5/2009,0.65
1/12/2009,0.7
1/19/2009,0.69
1/26/2009,0.7
2/2/2009,0.7
2/9/2009,0.7
2/16/2009,0.7
2/23/2009,0.65
3/2/2009,0.7
3/9/2009,0.65
3/16/2009,0.6
3/23/2009,0.6
3/30/2009,0.65
4/6/2009,0.65
4/13/2009,0.65
4/20/2009,0.65
4/27/2009,0.6
5/4/2009,0.6
5/11/2009,0.6
5/18/2009,0.6
5/25/2009,0.6
6/1/2009,0.6
6/8/2009,0.6
6/15/2009,0.6
6/22/2009,0.6
6/29/2009,0.6
7/6/2009,0.6
7/13/2009,0.6
7/20/2009,0.6
7/27/2009,0.6
8/3/2009,0.6
8/10/2009,0.6
8/17/2009,0.55
8/24/2009,0.55
8/31/2009,0.6
9/7/2009,0.6
9/14/2009,0.6
9/21/2009,0.6
9/28/2009,0.6
10/5/2009,0.6
10/12/2009,0.6
10/19/2009,0.6
10/26/2009,0.55
11/2/2009,0.55
11/9/2009,0.55
11/16/2009,0.6
11/23/2009,0.55
11/30/2009,0.55
12/7/2009,0.6
12/14/2009,0.6
12/21/2009,0.6
12/28/2009,0.6
1/4/2010,0.6
1/11/2010,0.6
1/18/2010,0.6
1/25/2010,0.6
2/1/2010,0.6
2/8/2010,0.55
2/15/2010,0.6
2/22/2010,0.6
3/1/2010,0.6
3/8/2010,0.6
3/15/2010,0.6
3/22/2010,0.6
3/29/2010,0.6
4/5/2010,0.6
4/12/2010,0.65
4/19/2010,0.65
4/26/2010,0.6
5/3/2010,0.6
5/10/2010,0.6
5/17/2010,0.6
5/24/2010,0.6
5/31/2010,0.6
6/7/2010,0.6
6/14/2010,0.6
6/21/2010,0.6
6/28/2010,0.6
7/5/2010,0.6
7/12/2010,0.6
7/19/2010,0.6
7/26/2010,0.6
8/2/2010,0.6
8/9/2010,0.6
8/16/2010,0.6
8/23/2010,0.6
8/30/2010,0.6
9/6/2010,0.6
9/13/2010,0.6
9/20/2010,0.65
9/27/2010,0.6
10/4/2010,0.7
10/11/2010,0.75
10/18/2010,0.75
10/25/2010,0.75
11/1/2010,0.75
11/8/2010,0.75
11/15/2010,0.75
11/22/2010,0.8
11/29/2010,0.8
12/6/2010,0.85
12/13/2010,0.85
12/20/2010,0.95
12/27/2010,0.85
1/3/2011,0.85
1/10/2011,0.9
1/17/2011,0.9
1/24/2011,0.85
1/31/2011,0.85
2/7/2011,0.9
2/14/2011,0.9
2/21/2011,0.9
2/28/2011,0.9
3/7/2011,0.9
3/14/2011,1
3/21/2011,0.9
3/28/2011,0.9
4/4/2011,0.9
4/11/2011,0.95
4/18/2011,0.95
4/25/2011,0.9
5/2/2011,0.9
