Date,Harga Ladang
12/29/2008,4.05
1/5/2009,3.95
1/12/2009,3.96
1/19/2009,4.25
1/26/2009,4.2
2/2/2009,4.15
2/9/2009,4
2/16/2009,3.9
2/23/2009,3.9
3/2/2009,3.95
3/9/2009,4.05
3/16/2009,4
3/23/2009,3.85
3/30/2009,3.5
4/6/2009,3.8
4/13/2009,3.9
4/20/2009,3.7
4/27/2009,3.85
5/4/2009,4.15
5/11/2009,4.05
5/18/2009,4.2
5/25/2009,4.2
6/1/2009,4.1
6/8/2009,4.15
6/15/2009,4.15
6/22/2009,4.1
6/29/2009,4.05
7/6/2009,4.1
7/13/2009,4.05
7/20/2009,4.05
7/27/2009,4.1
8/3/2009,4
8/10/2009,4.05
8/17/2009,4.1
8/24/2009,4.05
8/31/2009,4.1
9/7/2009,4.15
9/14/2009,4.25
9/21/2009,4.2
9/28/2009,4.1
10/5/2009,4.2
10/12/2009,4.2
10/19/2009,4.3
10/26/2009,4.15
11/2/2009,4.2
11/9/2009,4.15
11/16/2009,4.1
11/23/2009,4.05
11/30/2009,4.05
12/7/2009,3.7
12/14/2009,4
12/21/2009,4.05
12/28/2009,4.1
1/4/2010,4
1/11/2010,4
1/18/2010,4.15
1/25/2010,4.1
2/1/2010,3.95
2/8/2010,3.85
2/15/2010,3.8
2/22/2010,4.15
3/1/2010,4.15
3/8/2010,4.1
3/15/2010,4.1
3/22/2010,4.1
3/29/2010,4.15
4/5/2010,4.1
4/12/2010,4
4/19/2010,4.1
4/26/2010,4.1
5/3/2010,4.1
5/10/2010,4.15
5/17/2010,4.2
5/24/2010,4.25
5/31/2010,4.3
6/7/2010,4.25
6/14/2010,4.3
6/21/2010,4.4
6/28/2010,4.3
7/5/2010,4.35
7/12/2010,4.3
7/19/2010,4.25
7/26/2010,4.05
8/2/2010,4.3
8/9/2010,4.4
8/16/2010,4.45
8/23/2010,4.45
8/30/2010,4.45
9/6/2010,4.4
9/13/2010,4.45
9/20/2010,4.35
9/27/2010,4.35
10/4/2010,4.4
10/11/2010,4.45
10/18/2010,4.4
10/25/2010,4.3
11/1/2010,4.25
11/8/2010,4.25
11/15/2010,4.3
11/22/2010,4.25
11/29/2010,4.15
12/6/2010,4.15
12/13/2010,4.15
12/20/2010,4.15
12/27/2010,4.15
1/3/2011,4.25
1/10/2011,4.35
1/17/2011,4.45
1/24/2011,4.55
1/31/2011,4.45
2/7/2011,4.55
2/14/2011,4.65
2/21/2011,4.65
2/28/2011,4.5
3/7/2011,4.5
3/14/2011,4.7
3/21/2011,4.8
3/28/2011,4.75
4/4/2011,4.55
4/11/2011,4.7
4/18/2011,4.65
4/25/2011,4.5
5/2/2011,4.5
5/9/2011,4.5
5/16/2011,4.65
5/23/2011,4.65
5/30/2011,4.7
6/6/2011,4.6
6/13/2011,4.7
6/20/2011,4.9
6/27/2011,4.9
7/4/2011,4.9
7/11/2011,4.85
7/18/2011,4.8
7/25/2011,4.85
8/1/2011,4.75
8/8/2011,4.6
8/15/2011,4.65
8/22/2011,4.65
8/29/2011,4.8
9/5/2011,4.8
9/12/2011,5.1
9/19/2011,5.25
9/26/2011,5.25
10/3/2011,5.4
10/10/2011,5.3
10/17/2011,5
10/24/2011,4.65
10/31/2011,4.65
11/7/2011,4.65
11/14/2011,4.85
11/21/2011,4.8
11/28/2011,4.5
12/5/2011,4.2
12/12/2011,4.35
12/19/2011,4.5
12/26/2011,4.25
1/2/2012,4.3
1/9/2012,4.65
1/16/2012,4.75
1/23/2012,4.6
1/30/2012,4.35
2/6/2012,4.2
2/13/2012,4.15
2/20/2012,4.2
2/27/2012,4.25
3/5/2012,4.3
3/12/2012,4.5
3/19/2012,4.5
3/26/2012,4.6
4/2/2012,4.5
4/9/2012,4.35
4/16/2012,4.35
4/23/2012,4.05
4/30/2012,4.25
5/7/2012,4.45
5/14/2012,4.6
5/21/2012,4.65
5/28/2012,4.7
6/4/2012,4.7
6/11/2012,4.55
6/18/2012,4.7
6/25/2012,4.75
7/2/2012,4.6
7/9/2012,4.35
7/16/2012,4.35
7/23/2012,4.35
7/30/2012,4.2
8/6/2012,4.4
8/13/2012,4.3
8/20/2012,4.3
8/27/2012,4.1
9/3/2012,4.25
9/10/2012,4.5
9/17/2012,4.9
9/24/2012,4.9
10/1/2012,4.7
10/8/2012,4.65
10/15/2012,4.65
10/22/2012,4.65
10/29/2012,4.5
11/5/2012,4.15
11/12/2012,4.2
11/19/2012,4.25
11/26/2012,4.25
12/3/2012,4.3
12/10/2012,4.5
12/17/2012,4.6
12/24/2012,4.65
12/31/2012,4.75
1/7/2013,4.75
1/14/2013,4.65
1/21/2013,4.15
1/28/2013,4.35
2/4/2013,5.1
2/11/2013,5.4
2/18/2013,4.55
2/25/2013,4.4
3/4/2013,4.5
3/11/2013,4.55
3/18/2013,4.5
3/25/2013,4.85
4/1/2013,4.95
4/8/2013,5.05
4/15/2013,4.95
4/22/2013,4.7
4/29/2013,4.5
5/6/2013,4.55
5/13/2013,4.35
5/20/2013,4.55
5/27/2013,4.65
6/3/2013,4.85
6/10/2013,4.5
6/17/2013,4.5
6/24/2013,4.85
7/1/2013,5
7/8/2013,5.05
7/15/2013,5.25
7/22/2013,5.1
7/29/2013,5.1
8/5/2013,5.05
8/12/2013,5.15
8/19/2013,5.1
8/26/2013,5.2
9/2/2013,5.25
9/9/2013,5.15
9/16/2013,5
9/23/2013,5.1
9/30/2013,5.05
10/7/2013,5.05
10/14/2013,5.2
10/21/2013,4.95
10/28/2013,4.7
11/4/2013,4.75
11/11/2013,4.7
11/18/2013,4.7
11/25/2013,4.85
12/2/2013,4.9
12/9/2013,4.55
12/16/2013,4.95
12/23/2013,5.2
12/30/2013,5.25
1/6/2014,5.1
1/13/2014,5.2
1/20/2014,5.2
1/27/2014,5.15
2/3/2014,5.2
2/10/2014,5.55
2/17/2014,5.55
2/24/2014,5.3
3/3/2014,5.25
3/10/2014,5.35
3/17/2014,5.55
3/24/2014,5.3
3/31/2014,4.85
4/7/2014,4.7
4/14/2014,4.85
4/21/2014,5.15
4/28/2014,5
5/5/2014,4.8
5/12/2014,4.8
5/19/2014,4.85
5/26/2014,5
