Date,Harga Ladang
12/29/2008,0.29
1/5/2009,0.3
1/12/2009,0.29
1/19/2009,0.29
1/26/2009,0.28
2/2/2009,0.29
2/9/2009,0.29
2/16/2009,0.3
2/22/2009,0.29
3/2/2009,0.29
3/9/2009,0.28
3/16/2009,0.28
3/23/2009,0.27
3/30/2009,0.27
4/6/2009,0.26
4/13/2009,0.26
4/20/2009,0.26
4/27/2009,0.26
5/4/2009,0.26
5/11/2009,0.27
5/18/2009,0.28
5/25/2009,0.28
6/1/2009,0.26
6/8/2009,0.28
6/15/2009,0.28
6/22/2009,0.28
6/29/2009,0.29
7/6/2009,0.29
7/13/2009,0.29
7/20/2009,0.29
7/27/2009,0.29
8/3/2009,0.3
8/10/2009,0.3
8/17/2009,0.3
8/24/2009,0.29
8/31/2009,0.29
9/7/2009,0.28
9/14/2009,0.27
9/21/2009,0.28
9/28/2009,0.27
10/5/2009,0.26
10/12/2009,0.25
10/19/2009,0.25
10/26/2009,0.26
11/2/2009,0.26
11/9/2009,0.27
11/16/2009,0.27
11/23/2009,0.28
11/30/2009,0.29
12/7/2009,0.29
12/14/2009,0.29
12/21/2009,0.29
12/28/2009,0.29
1/4/2010,0.29
1/11/2010,0.29
1/18/2010,0.29
1/25/2010,0.28
2/1/2010,0.27
2/8/2010,0.27
2/15/2010,0.27
2/22/2010,0.28
3/1/2010,0.27
3/8/2010,0.27
3/15/2010,0.27
3/22/2010,0.27
3/29/2010,0.27
4/5/2010,0.27
4/12/2010,0.27
4/19/2010,0.27
4/25/2010,0.27
5/3/2010,0.27
5/10/2010,0.27
5/17/2010,0.27
5/24/2010,0.28
5/31/2010,0.29
6/7/2010,0.29
6/14/2010,0.29
6/21/2010,0.29
6/28/2010,0.3
7/5/2010,0.3
7/12/2010,0.3
7/19/2010,0.3
7/26/2010,0.3
8/2/2010,0.3
8/9/2010,0.3
8/16/2010,0.3
8/23/2010,0.3
8/30/2010,0.29
9/6/2010,0.29
9/13/2010,0.3
9/20/2010,0.29
9/27/2010,0.28
10/4/2010,0.27
10/11/2010,0.28
10/18/2010,0.29
10/25/2010,0.3
11/1/2010,0.3
11/8/2010,0.3
11/15/2010,0.31
11/22/2010,0.31
11/29/2010,0.31
12/6/2010,0.31
12/13/2010,0.31
12/20/2010,0.31
12/27/2010,0.3
1/3/2011,0.3
1/10/2011,0.31
1/17/2011,0.31
1/24/2011,0.31
1/31/2011,0.31
2/7/2011,0.31
2/14/2011,0.31
2/21/2011,0.31
2/28/2011,0.31
3/7/2011,0.31
3/14/2011,0.31
3/21/2011,0.31
3/28/2011,0.3
4/4/2011,0.3
4/11/2011,0.3
4/18/2011,0.3
4/25/2011,0.3
5/2/2011,0.3
5/9/2011,0.3
5/16/2011,0.3
5/23/2011,0.3
5/30/2011,0.3
6/6/2011,0.3
6/13/2011,0.31
6/20/2011,0.31
6/27/2011,0.31
7/4/2011,0.31
7/11/2011,0.32
7/18/2011,0.32
7/25/2011,0.32
8/1/2011,0.32
8/8/2011,0.32
8/15/2011,0.31
8/22/2011,0.31
8/29/2011,0.32
9/5/2011,0.3
9/12/2011,0.29
9/19/2011,0.28
9/26/2011,0.29
10/3/2011,0.3
10/10/2011,0.31
10/17/2011,0.32
10/24/2011,0.31
10/31/2011,0.32
11/7/2011,0.33
11/14/2011,0.33
11/21/2011,0.33
11/28/2011,0.32
12/5/2011,0.32
12/12/2011,0.32
12/19/2011,0.32
12/26/2011,0.32
1/2/2012,0.32
1/9/2012,0.32
1/16/2012,0.32
1/23/2012,0.32
1/30/2012,0.32
2/6/2012,0.32
2/13/2012,0.31
2/20/2012,0.31
2/27/2012,0.3
3/5/2012,0.3
3/12/2012,0.3
3/19/2012,0.29
3/26/2012,0.3
4/2/2012,0.29
4/9/2012,0.27
4/16/2012,0.27
4/23/2012,0.28
4/30/2012,0.29
5/7/2012,0.29
5/14/2012,0.28
5/21/2012,0.29
5/28/2012,0.29
6/4/2012,0.29
6/11/2012,0.29
6/18/2012,0.29
6/25/2012,0.29
7/2/2012,0.29
7/9/2012,0.3
7/16/2012,0.3
7/23/2012,0.3
7/30/2012,0.29
8/6/2012,0.29
8/13/2012,0.3
8/20/2012,0.3
8/27/2012,0.29
9/3/2012,0.3
9/10/2012,0.3
9/17/2012,0.31
9/24/2012,0.32
10/1/2012,0.32
10/8/2012,0.32
10/15/2012,0.32
10/22/2012,0.33
10/29/2012,0.33
11/5/2012,0.32
11/12/2012,0.32
11/19/2012,0.32
11/26/2012,0.31
12/3/2012,0.31
12/10/2012,0.31
12/17/2012,0.32
12/24/2012,0.31
12/31/2012,0.33
1/7/2013,0.33
1/14/2013,0.33
1/21/2013,0.34
1/28/2013,0.34
2/4/2013,0.33
2/11/2013,0.33
2/18/2013,0.33
2/25/2013,0.33
3/4/2013,0.33
3/11/2013,0.33
3/18/2013,0.33
3/25/2013,0.33
4/1/2013,0.32
4/8/2013,0.32
4/15/2013,0.33
4/22/2013,0.32
4/29/2013,0.32
5/6/2013,0.33
5/13/2013,0.33
5/20/2013,0.33
5/27/2013,0.33
6/3/2013,0.34
6/10/2013,0.34
6/17/2013,0.33
6/24/2013,0.33
7/1/2013,0.33
7/8/2013,0.33
7/15/2013,0.33
7/22/2013,0.34
7/29/2013,0.34
8/5/2013,0.33
8/12/2013,0.32
8/19/2013,0.32
8/26/2013,0.32
9/2/2013,0.33
9/9/2013,0.33
9/16/2013,0.33
9/23/2013,0.33
9/30/2013,0.33
10/7/2013,0.33
10/14/2013,0.33
10/21/2013,0.34
10/28/2013,0.33
11/4/2013,0.33
11/11/2013,0.34
11/18/2013,0.34
11/25/2013,0.34
12/2/2013,0.34
12/9/2013,0.34
12/16/2013,0.34
12/23/2013,0.33
12/30/2013,0.34
1/6/2014,0.34
1/13/2014,0.34
1/20/2014,0.34
1/27/2014,0.33
2/3/2014,0.32
2/10/2014,0.34
2/17/2014,0.34
2/24/2014,0.34
3/3/2014,0.33
3/10/2014,0.33
3/17/2014,0.34
3/24/2014,0.33
3/31/2014,0.33
4/7/2014,0.32
4/14/2014,0.31
4/21/2014,0.32
4/28/2014,0.32
5/5/2014,0.32
5/12/2014,0.33
5/19/2014,0.33
5/26/2014,0.34
6/2/2014,0.34
6/9/2014,0.33
6/16/2014,0.33
6/23/2014,0.33
6/30/2014,0.33
7/7/2014,0.34
7/14/2014,0.34
7/21/2014,0.31
7/28/2014,0.31
8/4/2014,0.32
8/11/2014,0.32
8/18/2014,0.33
8/25/2014,0.32
9/1/2014,0.32
9/8/2014,0.33
9/15/2014,0.33
9/22/2014,0.33
9/29/2014,0.33
10/6/2014,0.33
10/13/2014,0.33
10/20/2014,0.32
10/27/2014,0.33
11/3/2014,0.34
11/10/2014,0.34
11/17/2014,0.35
11/24/2014,0.35
12/1/2014,0.36
12/8/2014,0.36
12/15/2014,0.36
12/22/2014,0.35
12/29/2014,0.38
1/5/2015,0.38
1/12/2015,0.38
1/19/2015,0.38
1/26/2015,0.38
2/2/2015,0.38
2/9/2015,0.37
2/16/2015,0.35
2/23/2015,0.35
3/2/2015,0.37
3/9/2015,0.37
3/16/2015,0.36
3/23/2015,0.35
3/30/2015,0.34
4/6/2015,0.34
4/13/2015,0.35
4/20/2015,0.34
4/27/2015,0.34
5/4/2015,0.34
5/11/2015,0.33
5/18/2015,0.33
5/25/2015,0.33
6/1/2015,0.33
6/8/2015,0.32
6/15/2015,0.33
6/22/2015,0.33
6/29/2015,0.33
7/6/2015,0.32
7/13/2015,0.32
7/20/2015,0.32
7/27/2015,0.32
8/3/2015,0.32
8/10/2015,0.33
8/17/2015,0.33
8/24/2015,0.33
8/31/2015,0.33
9/7/2015,0.34
9/14/2015,0.34
9/21/2015,0.34
9/28/2015,0.33
10/5/2015,0.35
10/12/2015,0.35
10/19/2015,0.35
10/26/2015,0.35
11/2/2015,0.35
11/9/2015,0.34
11/16/2015,0.33
11/23/2015,0.34
11/30/2015,0.34
12/7/2015,0.34
12/14/2015,0.34
12/21/2015,0.34
12/28/2015,0.33
1/4/2016,0.33
