Date,Harga Ladang
12/29/2008,1.15
1/5/2009,1.1
1/12/2009,1.15
1/19/2009,1.19
1/26/2009,1.35
2/2/2009,1.3
2/9/2009,1.4
2/16/2009,1.05
2/23/2009,1
3/2/2009,0.95
3/9/2009,1.15
3/16/2009,1.1
3/23/2009,1.1
3/30/2009,1.05
4/6/2009,1.05
4/13/2009,1
4/20/2009,1.05
4/27/2009,0.95
5/4/2009,0.9
5/11/2009,0.9
5/18/2009,1
5/25/2009,0.95
6/1/2009,1
6/8/2009,1
6/15/2009,1
6/22/2009,1
6/29/2009,0.95
7/6/2009,1
7/13/2009,0.95
7/20/2009,1.05
7/27/2009,1
8/3/2009,1
8/10/2009,0.95
8/17/2009,1
8/24/2009,1.1
8/31/2009,1.05
9/7/2009,1.05
9/14/2009,1.05
9/21/2009,1.1
9/28/2009,1.1
10/5/2009,1
10/12/2009,1.05
10/19/2009,1.05
10/26/2009,1.1
11/2/2009,1.05
11/9/2009,1.2
11/16/2009,1.5
11/23/2009,1.75
11/30/2009,1.7
12/7/2009,1.4
12/14/2009,1.25
12/21/2009,1.15
12/28/2009,1
1/4/2010,1.15
1/11/2010,1.1
1/18/2010,1.3
1/25/2010,1.3
2/1/2010,1.35
2/8/2010,1.2
2/15/2010,1.25
2/22/2010,1.15
3/1/2010,1
3/8/2010,1.1
3/15/2010,1.1
3/22/2010,1.15
3/29/2010,1.2
4/5/2010,1.3
4/12/2010,1.25
4/19/2010,1.25
4/26/2010,1.25
5/3/2010,1.2
5/10/2010,1.35
5/17/2010,1.4
5/24/2010,1.45
5/31/2010,1.3
6/7/2010,1.3
6/14/2010,1.25
6/21/2010,1.25
6/28/2010,1.2
7/5/2010,1.4
7/12/2010,1.35
7/19/2010,1.25
7/26/2010,1.25
8/2/2010,1.2
8/9/2010,1.2
8/16/2010,1.05
8/23/2010,1.05
8/30/2010,1.1
9/6/2010,1.1
9/13/2010,1.05
9/20/2010,1.15
9/27/2010,1.15
10/4/2010,1.3
10/11/2010,1.45
10/18/2010,1.4
10/25/2010,1.25
11/1/2010,1.1
11/8/2010,1.15
11/15/2010,1.2
11/22/2010,1.2
11/29/2010,1.2
12/6/2010,1.3
12/13/2010,1.3
12/20/2010,1.4
12/27/2010,1.4
1/3/2011,1.5
1/10/2011,1.6
1/17/2011,1.55
1/24/2011,1.55
1/31/2011,1.5
2/7/2011,2
2/14/2011,1.5
2/21/2011,1.25
2/28/2011,1.15
3/7/2011,1.15
3/14/2011,1
3/21/2011,1.25
3/28/2011,1.45
4/4/2011,1.4
4/11/2011,1.3
4/18/2011,1.3
